---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.7075125
mean_fail_rate: 0.20130625
mean_sloth_rate: 0.09118125
recall_50: 0.7176
recall_90: 0.5438
mean_wall_collisions: 9.33523125
mean_inefficient_turns: 21.2310625
mean_inefficient_revisits: 4.51469375
mean_distance_inefficiency: 2.2784332222894865
mean_closure_inefficiency: 1.3535254916351944
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.66378125
mean_fail_rate: 0.2265625
mean_sloth_rate: 0.10965625
recall_50: 0.671
recall_90: 0.45
mean_wall_collisions: 11.31653125
mean_inefficient_turns: 26.4275625
mean_inefficient_revisits: 5.34971875
mean_distance_inefficiency: 2.732557747030805
mean_closure_inefficiency: 1.4266674221751052
---------------------------------------------------------------
Maze 34| Su: 0.34375| Fa: 0.65625| Sl: 0.0| WC: 4.28125| IT: 12.3125| IR: 1.375| DI: 1.829526015284813| CI: 1.2909090909090908
Maze 35| Su: 0.0625| Fa: 0.5625| Sl: 0.375| WC: 46.75| IT: 95.78125| IR: 21.78125| DI: 5.034090909090909| CI: 1.5
Maze 36| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 0.625| IR: 0.0| DI: 1.1677083333333331| CI: 1.1614583333333335
Maze 37| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.1875| IT: 1.6875| IR: 0.0| DI: 1.4085700757575759| CI: 1.09375
Maze 38| Su: 0.9375| Fa: 0.03125| Sl: 0.03125| WC: 2.40625| IT: 6.6875| IR: 2.0| DI: 1.8682983682983685| CI: 1.1
Maze 39| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 1.03125| IR: 0.0| DI: 1.2668402777777779| CI: 1.1624999999999999
Maze 40| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.625| IT: 2.75| IR: 0.0625| DI: 1.3930813553491572| CI: 1.0848214285714286
Maze 41| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.84375| IT: 1.25| IR: 0.0| DI: 1.3205808080808081| CI: 1.0625
Maze 42| Su: 0.375| Fa: 0.34375| Sl: 0.28125| WC: 28.65625| IT: 43.4375| IR: 14.3125| DI: 4.334650856389987| CI: 3.506944444444444
Maze 43| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.21875| IT: 3.375| IR: 0.1875| DI: 1.4203485122119024| CI: 1.16875
Maze 44| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.65625| IT: 1.53125| IR: 0.03125| DI: 1.2960372960372961| CI: 1.11328125
Maze 45| Su: 0.0| Fa: 0.90625| Sl: 0.09375| WC: 10.28125| IT: 22.8125| IR: 2.78125| DI: nan| CI: nan
Maze 46| Su: 0.09375| Fa: 0.90625| Sl: 0.0| WC: 3.78125| IT: 11.625| IR: 1.0625| DI: 2.528792912513843| CI: 4.236111111111112
Maze 47| Su: 0.53125| Fa: 0.03125| Sl: 0.4375| WC: 47.75| IT: 130.4375| IR: 22.25| DI: 6.238838612368024| CI: 2.3294117647058825
Maze 48| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.65625| IR: 0.0| DI: 1.2223958333333333| CI: 1.25
Maze 49| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 2.375| IT: 10.03125| IR: 0.8125| DI: 1.9069694616977222| CI: 1.0535714285714284
Maze 50| Su: 0.28125| Fa: 0.53125| Sl: 0.1875| WC: 31.3125| IT: 72.5625| IR: 11.8125| DI: 3.759064327485381| CI: 1.0
Maze 51| Su: 0.1875| Fa: 0.71875| Sl: 0.09375| WC: 5.3125| IT: 14.875| IR: 5.96875| DI: 1.8657773386034255| CI: 1.125
Maze 52| Su: 0.90625| Fa: 0.03125| Sl: 0.0625| WC: 3.625| IT: 10.96875| IR: 5.25| DI: 2.113507229873196| CI: 1.4137931034482758
Maze 53| Su: 0.09375| Fa: 0.90625| Sl: 0.0| WC: 3.96875| IT: 11.6875| IR: 0.9375| DI: 3.733997155049787| CI: 10.166666666666666
Maze 54| Su: 0.03125| Fa: 0.65625| Sl: 0.3125| WC: 58.90625| IT: 132.25| IR: 21.3125| DI: 8.236842105263158| CI: 1.0
Maze 55| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.65625| IT: 1.125| IR: 0.0| DI: 1.276010101010101| CI: 1.1354166666666665
Maze 56| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 1.34375| IT: 3.375| IR: 0.25| DI: 1.7183908045977014| CI: 1.1471674876847289
Maze 57| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.625| IT: 4.59375| IR: 0.03125| DI: 1.3941055253623187| CI: 1.1171875
Maze 58| Su: 0.03125| Fa: 0.75| Sl: 0.21875| WC: 14.25| IT: 28.84375| IR: 9.28125| DI: 1.8214285714285714| CI: 1.5714285714285714
Maze 59| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.84375| IT: 3.1875| IR: 0.125| DI: 1.5000730994152045| CI: 1.09375
Maze 60| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 0.875| IR: 0.0| DI: 1.2107514880952381| CI: 1.1484375
Maze 61| Su: 0.0| Fa: 0.84375| Sl: 0.15625| WC: 12.25| IT: 12.34375| IR: 7.34375| DI: nan| CI: nan
Maze 62| Su: 0.84375| Fa: 0.125| Sl: 0.03125| WC: 2.625| IT: 7.1875| IR: 2.65625| DI: 1.2671957671957672| CI: 1.0925925925925926
Maze 63| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 2.0| IR: 0.0| DI: 1.2953125| CI: 1.25
Maze 64| Su: 0.1875| Fa: 0.09375| Sl: 0.71875| WC: 59.96875| IT: 133.125| IR: 31.46875| DI: 5.997350427350427| CI: 3.4166666666666665
Maze 65| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 0.75| IR: 0.0| DI: 1.3078497023809523| CI: 1.1770833333333335
Maze 66| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 1.375| IR: 0.03125| DI: 1.3165719696969695| CI: 1.203125
Maze 67| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 1.03125| IR: 0.0| DI: 1.334970238095238| CI: 1.1875
Maze 68| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.375| IT: 7.4375| IR: 0.15625| DI: 1.5424799679487178| CI: 1.0
Maze 69| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.8125| IT: 1.8125| IR: 0.0| DI: 1.5012400793650793| CI: 1.15625
Maze 70| Su: 0.03125| Fa: 0.96875| Sl: 0.0| WC: 2.375| IT: 8.75| IR: 0.5| DI: 1.7142857142857142| CI: 1.0
Maze 71| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.5625| IT: 8.59375| IR: 0.34375| DI: 1.70067788686302| CI: 1.1451612903225807
Maze 72| Su: 0.90625| Fa: 0.0| Sl: 0.09375| WC: 3.25| IT: 13.9375| IR: 6.625| DI: 2.848048503220917| CI: 1.4870689655172413
Maze 73| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.40625| IT: 2.46875| IR: 0.03125| DI: 1.4628162202380952| CI: 1.0416666666666667
