---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.23335625
mean_fail_rate: 0.1890875
mean_sloth_rate: 0.57755625
recall_50: 0.1776
recall_90: 0.0374
mean_wall_collisions: 74.35353125
mean_inefficient_turns: 141.7553625
mean_inefficient_revisits: 19.7871875
mean_distance_inefficiency: 17.789413402373945
mean_closure_inefficiency: 20.581673421572095
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.224875
mean_fail_rate: 0.1868125
mean_sloth_rate: 0.5883125
recall_50: 0.166
recall_90: 0.033
mean_wall_collisions: 74.63578125
mean_inefficient_turns: 142.670875
mean_inefficient_revisits: 19.928
mean_distance_inefficiency: 17.636611689086465
mean_closure_inefficiency: 20.6218783268455
---------------------------------------------------------------
Maze 35| Su: 0.0| Fa: 0.03125| Sl: 0.96875| WC: 96.84375| IT: 182.71875| IR: 29.53125| DI: nan| CI: nan
Maze 36| Su: 0.375| Fa: 0.3125| Sl: 0.3125| WC: 42.46875| IT: 94.75| IR: 10.40625| DI: 35.07916666666666| CI: 40.041666666666664
Maze 37| Su: 0.8125| Fa: 0.0| Sl: 0.1875| WC: 58.28125| IT: 109.84375| IR: 15.34375| DI: 22.198892773892776| CI: 31.935897435897438
Maze 38| Su: 0.25| Fa: 0.09375| Sl: 0.65625| WC: 79.375| IT: 162.5625| IR: 24.0625| DI: 28.930944055944053| CI: 28.53125
Maze 39| Su: 0.8125| Fa: 0.0| Sl: 0.1875| WC: 54.34375| IT: 91.90625| IR: 11.28125| DI: 22.208760683760683| CI: 30.184615384615384
Maze 40| Su: 0.0625| Fa: 0.5| Sl: 0.4375| WC: 69.90625| IT: 125.28125| IR: 18.46875| DI: 16.551169590643276| CI: 25.785714285714285
Maze 41| Su: 0.5| Fa: 0.3125| Sl: 0.1875| WC: 47.59375| IT: 94.5625| IR: 10.75| DI: 16.93125| CI: 20.359375
Maze 42| Su: 0.15625| Fa: 0.03125| Sl: 0.8125| WC: 93.3125| IT: 173.5| IR: 23.53125| DI: 14.081818181818182| CI: 31.1
Maze 43| Su: 0.3125| Fa: 0.15625| Sl: 0.53125| WC: 78.1875| IT: 149.0625| IR: 17.15625| DI: 17.57137942896457| CI: 13.25
Maze 44| Su: 0.8125| Fa: 0.0| Sl: 0.1875| WC: 46.71875| IT: 93.6875| IR: 13.46875| DI: 16.319504213734984| CI: 18.66346153846154
Maze 45| Su: 0.0625| Fa: 0.28125| Sl: 0.65625| WC: 79.71875| IT: 160.59375| IR: 21.03125| DI: 8.768518518518519| CI: 3.625
Maze 46| Su: 0.0| Fa: 0.15625| Sl: 0.84375| WC: 87.375| IT: 167.375| IR: 27.46875| DI: nan| CI: nan
Maze 47| Su: 0.0| Fa: 0.0| Sl: 1.0| WC: 94.03125| IT: 187.0625| IR: 29.125| DI: nan| CI: nan
Maze 48| Su: 0.65625| Fa: 0.03125| Sl: 0.3125| WC: 43.09375| IT: 97.28125| IR: 14.125| DI: 31.677777777777777| CI: 36.857142857142854
Maze 49| Su: 0.03125| Fa: 0.15625| Sl: 0.8125| WC: 89.0625| IT: 174.03125| IR: 28.15625| DI: 12.625| CI: 16.166666666666668
Maze 50| Su: 0.125| Fa: 0.15625| Sl: 0.71875| WC: 81.875| IT: 163.65625| IR: 21.09375| DI: 15.187844611528822| CI: 7.416666666666666
Maze 51| Su: 0.125| Fa: 0.4375| Sl: 0.4375| WC: 70.5| IT: 136.6875| IR: 18.375| DI: 18.846343873517785| CI: 25.09375
Maze 52| Su: 0.125| Fa: 0.0| Sl: 0.875| WC: 83.59375| IT: 177.90625| IR: 21.90625| DI: 14.613562091503269| CI: 9.2
Maze 53| Su: 0.0| Fa: 0.34375| Sl: 0.65625| WC: 82.59375| IT: 155.15625| IR: 20.40625| DI: nan| CI: nan
Maze 54| Su: 0.0| Fa: 0.0| Sl: 1.0| WC: 93.40625| IT: 181.84375| IR: 25.40625| DI: nan| CI: nan
Maze 55| Su: 0.5625| Fa: 0.0| Sl: 0.4375| WC: 72.3125| IT: 127.0625| IR: 18.3125| DI: 24.793771043771045| CI: 33.772222222222226
Maze 56| Su: 0.40625| Fa: 0.4375| Sl: 0.15625| WC: 38.75| IT: 86.21875| IR: 12.625| DI: 14.621794871794872| CI: 16.416208791208792
Maze 57| Su: 0.125| Fa: 0.21875| Sl: 0.65625| WC: 92.40625| IT: 168.9375| IR: 23.28125| DI: 11.523333333333333| CI: 7.9375
Maze 58| Su: 0.03125| Fa: 0.28125| Sl: 0.6875| WC: 86.15625| IT: 156.0| IR: 23.6875| DI: 11.392857142857142| CI: 6.714285714285714
Maze 59| Su: 0.3125| Fa: 0.0| Sl: 0.6875| WC: 79.46875| IT: 158.71875| IR: 23.0| DI: 13.5846783625731| CI: 13.4125
Maze 60| Su: 0.875| Fa: 0.0| Sl: 0.125| WC: 46.8125| IT: 72.3125| IR: 7.5625| DI: 19.377976190476193| CI: 27.080357142857142
Maze 61| Su: 0.0| Fa: 0.84375| Sl: 0.15625| WC: 63.5| IT: 108.25| IR: 14.6875| DI: nan| CI: nan
Maze 62| Su: 0.34375| Fa: 0.09375| Sl: 0.5625| WC: 82.84375| IT: 157.625| IR: 19.09375| DI: 26.16823176823177| CI: 25.613636363636363
