---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.59031875
mean_fail_rate: 0.356
mean_sloth_rate: 0.05368125
recall_50: 0.5874
recall_90: 0.4568
mean_wall_collisions: 4.618125
mean_inefficient_turns: 19.905525
mean_inefficient_revisits: 3.1005125
mean_distance_inefficiency: 2.185398778316996
mean_closure_inefficiency: 1.3201487847787206
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.517875
mean_fail_rate: 0.42340625
mean_sloth_rate: 0.05871875
recall_50: 0.514
recall_90: 0.369
mean_wall_collisions: 4.81996875
mean_inefficient_turns: 21.224875
mean_inefficient_revisits: 3.20846875
mean_distance_inefficiency: 2.396107221778016
mean_closure_inefficiency: 1.7350185015753505
---------------------------------------------------------------
Maze 35| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 12.8125| IT: 49.84375| IR: 14.21875| DI: nan| CI: nan
Maze 36| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.34375| IR: 0.0| DI: 1.1770833333333335| CI: 1.1614583333333335
Maze 37| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0625| IT: 2.5| IR: 0.03125| DI: 1.5348958333333331| CI: 1.0520833333333333
Maze 38| Su: 0.375| Fa: 0.5625| Sl: 0.0625| WC: 3.78125| IT: 19.59375| IR: 2.5| DI: 1.7814199689199695| CI: 1.0833333333333333
Maze 39| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.71875| IT: 1.0625| IR: 0.0| DI: 1.3105034722222224| CI: 1.15
Maze 40| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 0.625| IT: 3.34375| IR: 0.03125| DI: nan| CI: nan
Maze 41| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0625| IT: 1.0| IR: 0.03125| DI: 1.3005997474747475| CI: 1.0
Maze 42| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 3.625| IT: 9.40625| IR: 0.75| DI: nan| CI: nan
Maze 43| Su: 0.8125| Fa: 0.03125| Sl: 0.15625| WC: 10.625| IT: 73.28125| IR: 7.46875| DI: 6.727382180942551| CI: 1.1730769230769231
Maze 44| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 1.96875| IR: 0.0625| DI: 1.3921182983682985| CI: 1.265625
Maze 45| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 1.5625| IT: 4.96875| IR: 0.15625| DI: nan| CI: nan
Maze 46| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 2.65625| IT: 9.1875| IR: 0.53125| DI: nan| CI: nan
Maze 47| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 8.6875| IT: 45.03125| IR: 8.875| DI: 3.8553127108636978| CI: 1.05625
Maze 48| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 0.21875| IR: 0.0| DI: 1.0614583333333334| CI: 1.0729166666666667
Maze 49| Su: 0.0625| Fa: 0.9375| Sl: 0.0| WC: 5.3125| IT: 24.125| IR: 3.5625| DI: 3.961666666666667| CI: 1.5
Maze 50| Su: 0.03125| Fa: 0.96875| Sl: 0.0| WC: 3.125| IT: 12.875| IR: 0.84375| DI: 1.6| CI: 1.0
Maze 51| Su: 0.28125| Fa: 0.71875| Sl: 0.0| WC: 1.3125| IT: 5.15625| IR: 0.375| DI: 1.6944627433757868| CI: 1.962962962962963
Maze 52| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 2.09375| IT: 8.625| IR: 0.65625| DI: 2.251440488476092| CI: 1.046875
Maze 53| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 2.90625| IT: 7.5625| IR: 0.4375| DI: nan| CI: nan
Maze 54| Su: 0.0| Fa: 1.0| Sl: 0.0| WC: 3.375| IT: 11.46875| IR: 1.8125| DI: nan| CI: nan
