---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.99865625
mean_fail_rate: 0.00125
mean_sloth_rate: 9.375e-05
recall_50: 1.0
recall_90: 0.999
mean_wall_collisions: 0.49715625
mean_inefficient_turns: 0.89634375
mean_inefficient_revisits: 0.06046875
mean_distance_inefficiency: 1.2641522082986272
mean_closure_inefficiency: 1.1498397963913962
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99328125
mean_fail_rate: 0.0065625
mean_sloth_rate: 0.00015625
recall_50: 0.995
recall_90: 0.99
mean_wall_collisions: 0.64875
mean_inefficient_turns: 1.3896875
mean_inefficient_revisits: 0.2125
mean_distance_inefficiency: 1.4266941697191005
mean_closure_inefficiency: 1.1793095623479775
---------------------------------------------------------------
Maze 35| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.6875| IR: 0.0| DI: 1.2250744047619047| CI: 1.209375
Maze 36| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 0.78125| IR: 0.0| DI: 1.2106894841269842| CI: 1.2734375
Maze 37| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.78125| IR: 0.0| DI: 1.4145833333333333| CI: 1.140625
Maze 38| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 0.5| IR: 0.0| DI: 1.1930803571428572| CI: 1.0833333333333335
Maze 39| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.59375| IR: 0.0| DI: 1.209375| CI: 1.203125
Maze 40| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 0.53125| IR: 0.0| DI: 1.1315104166666665| CI: 1.0
Maze 41| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 0.9375| IR: 0.0| DI: 1.1768623737373738| CI: 1.0390625
Maze 42| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.5625| IR: 0.0| DI: 1.2505208333333333| CI: 1.2916666666666667
Maze 43| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.59375| IR: 0.0| DI: 1.2155877976190474| CI: 1.0
Maze 44| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 0.875| IR: 0.0| DI: 1.2229166666666667| CI: 1.171875
Maze 45| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 0.6875| IR: 0.0| DI: 1.2008680555555555| CI: 1.1041666666666667
Maze 46| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.71875| IT: 1.40625| IR: 0.09375| DI: 1.2052006740196077| CI: 1.125
Maze 47| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.59375| IR: 0.0| DI: 1.1772693452380953| CI: 1.109375
Maze 48| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 1.5| IR: 0.0| DI: 1.5037202380952381| CI: 1.203125
Maze 49| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 0.40625| IR: 0.0| DI: 1.1515625| CI: 1.125
Maze 50| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 1.0625| IR: 0.0| DI: 1.4520323426573425| CI: 1.05625
Maze 51| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.8125| IT: 0.875| IR: 0.0| DI: 1.216824494949495| CI: 1.140625
Maze 52| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.5625| IR: 0.0| DI: 1.2224702380952381| CI: 1.1354166666666667
Maze 53| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 0.78125| IR: 0.0| DI: 1.2989583333333332| CI: 1.0625
Maze 54| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.75| IR: 0.0| DI: 1.1443452380952381| CI: 1.09375
Maze 55| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 0.625| IR: 0.0| DI: 1.1220238095238095| CI: 1.0703125
Maze 56| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.75| IT: 1.75| IR: 0.0| DI: 1.2412774725274727| CI: 1.0208333333333335
Maze 57| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 0.84375| IR: 0.0| DI: 1.5395833333333333| CI: 1.1796875
Maze 58| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 1.40625| IR: 0.0| DI: 1.2867132867132867| CI: 1.0125
Maze 59| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.90625| IT: 1.78125| IR: 0.09375| DI: 1.2241345551378446| CI: 1.09375
Maze 60| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 0.71875| IR: 0.0| DI: 1.2805059523809526| CI: 1.2354166666666666
Maze 61| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 1.03125| IR: 0.0| DI: 1.3190533424908424| CI: 1.0364583333333335
Maze 62| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 0.65625| IR: 0.0| DI: 1.19921875| CI: 1.1958333333333333
Maze 63| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.96875| IT: 1.65625| IR: 0.40625| DI: 1.3126659517973858| CI: 1.046875
Maze 64| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.4375| IT: 0.71875| IR: 0.0| DI: 1.165151515151515| CI: 1.109375
Maze 65| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 0.9375| IR: 0.0| DI: 1.1789299242424243| CI: 1.08125
Maze 66| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.5| IT: 1.15625| IR: 0.0| DI: 1.1888276143790848| CI: 1.046875
Maze 67| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.71875| IR: 0.0| DI: 1.2082093253968251| CI: 1.078125
Maze 68| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 0.53125| IR: 0.0| DI: 1.2885416666666667| CI: 1.2994791666666667
Maze 69| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.4375| IT: 0.75| IR: 0.03125| DI: 1.2106349206349205| CI: 1.0666666666666667
Maze 70| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.625| IT: 1.15625| IR: 0.03125| DI: 1.214233682983683| CI: 1.1041666666666667
Maze 71| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 0.71875| IR: 0.0| DI: 1.3145833333333332| CI: 1.328125
Maze 72| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 0.78125| IR: 0.0| DI: 1.2349330357142856| CI: 1.2260416666666667
Maze 73| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 0.5625| IR: 0.0| DI: 1.1292782738095237| CI: 1.125
Maze 74| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.1875| IT: 0.4375| IR: 0.0| DI: 1.1614583333333335| CI: 1.1197916666666667
Maze 75| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.25| IT: 0.34375| IR: 0.0| DI: 1.1354166666666667| CI: 1.0911458333333333
Maze 76| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.53125| IT: 0.78125| IR: 0.0| DI: 1.2250868055555557| CI: 1.171875
Maze 77| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5625| IT: 0.40625| IR: 0.0| DI: 1.1221275252525253| CI: 1.046875
Maze 78| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.59375| IT: 1.25| IR: 0.0| DI: 1.1905620421245422| CI: 1.046875
Maze 79| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 0.625| IR: 0.0| DI: 1.1330808080808081| CI: 1.0
Maze 80| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.78125| IT: 1.125| IR: 0.0| DI: 1.2803030303030303| CI: 1.0390625
Maze 81| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.5| IT: 1.5625| IR: 0.0| DI: 1.1743642769607843| CI: 1.0375
Maze 82| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 0.65625| IR: 0.0| DI: 1.200595238095238| CI: 1.21875
