---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.997325
mean_fail_rate: 0.00265625
mean_sloth_rate: 1.875e-05
recall_50: 1.0
recall_90: 0.997
mean_wall_collisions: 0.094125
mean_inefficient_turns: 2.4091
mean_inefficient_revisits: 0.24433125
mean_exploitation_inefficiency: 1.7623771703876088
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.99725
mean_fail_rate: 0.0026875
mean_sloth_rate: 6.25e-05
recall_50: 1.0
recall_90: 1.0
mean_wall_collisions: 0.11125
mean_inefficient_turns: 3.20765625
mean_inefficient_revisits: 0.46803125
mean_exploitation_inefficiency: 2.3000118739348276
---------------------------------------------------------------
Maze 36| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 2.4375| IR: 0.03125| DI: 1.775390625| EI: 1.6709558823529411
Maze 37| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 0.125| IR: 0.0| DI: 1.2455357142857142| EI: 1.2455357142857142
Maze 38| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 2.1875| IR: 0.0625| DI: 1.9947916666666667| EI: 1.5958333333333332
Maze 39| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 1.125| IR: 0.03125| DI: 1.8125| EI: 1.1651785714285714
Maze 40| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 3.6875| IR: 0.375| DI: 2.7642045454545454| EI: 2.7642045454545454
Maze 41| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 2.25| IR: 0.03125| DI: 2.759375| EI: 1.0612980769230769
Maze 42| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 7.78125| IR: 1.84375| DI: 7.90625| EI: 7.90625
Maze 43| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 4.03125| IR: 0.375| DI: 4.003472222222221| EI: 1.8015624999999997
Maze 44| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 2.625| IR: 0.125| DI: 1.998046875| EI: 1.880514705882353
Maze 45| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 2.15625| IR: 0.0| DI: 1.807692307692308| EI: 1.3823529411764706
