---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.951775
mean_fail_rate: 0.044
mean_sloth_rate: 0.004225
recall_50: 0.9988
recall_90: 0.8684
mean_wall_collisions: 0.361025
mean_inefficient_turns: 6.91589375
mean_inefficient_revisits: 2.535225
mean_exploitation_inefficiency: 3.60671633812324
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.94834375
mean_fail_rate: 0.04615625
mean_sloth_rate: 0.0055
recall_50: 0.998
recall_90: 0.849
mean_wall_collisions: 0.3651875
mean_inefficient_turns: 7.11790625
mean_inefficient_revisits: 2.63371875
mean_exploitation_inefficiency: 3.642634703643762
---------------------------------------------------------------
Maze 35| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 5.9375| IR: 1.03125| DI: 2.996323529411765| EI: 2.996323529411765
Maze 36| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.375| IT: 6.9375| IR: 2.0| DI: 3.587890625| EI: 3.3768382352941178
Maze 37| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 0.625| IT: 15.40625| IR: 10.65625| DI: 12.308755760368664| EI: 12.308755760368664
Maze 38| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.15625| IT: 5.15625| IR: 2.09375| DI: 3.6666666666666674| EI: 2.933333333333333
Maze 39| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.5| IT: 7.625| IR: 1.90625| DI: 6.250896057347671| EI: 4.018433179723503
Maze 40| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.03125| IT: 8.6875| IR: 2.6875| DI: 6.673295454545455| EI: 6.673295454545455
Maze 41| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.40625| IT: 5.84375| IR: 1.09375| DI: 4.183870967741935| EI: 1.6091811414392059
Maze 42| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 8.09375| IR: 4.9375| DI: 7.41015625| EI: 7.41015625
Maze 43| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 4.875| IR: 0.65625| DI: 3.4375| EI: 1.546875
Maze 44| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 6.96875| IR: 2.28125| DI: 3.45703125| EI: 3.2536764705882355
Maze 45| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 5.9375| IR: 1.0| DI: 3.362980769230769| EI: 2.5716911764705883
Maze 46| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.34375| IT: 9.40625| IR: 1.5| DI: 7.5344827586206895| EI: nan
Maze 47| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.46875| IT: 5.5| IR: 1.28125| DI: 4.872413793103448| EI: nan
Maze 48| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.125| IT: 1.59375| IR: 0.09375| DI: 1.8986175115207373| EI: 1.6612903225806452
Maze 49| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.1875| IT: 3.09375| IR: 0.84375| DI: 3.081504702194357| EI: 2.8247126436781604
Maze 50| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.40625| IT: 6.875| IR: 1.875| DI: 4.568181818181818| EI: nan
Maze 51| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.59375| IT: 9.125| IR: 1.96875| DI: 6.702508960573478| EI: 6.702508960573478
Maze 52| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 3.5| IR: 1.03125| DI: 3.421875| EI: 1.4407894736842106
Maze 53| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.90625| IT: 14.8125| IR: 7.9375| DI: 9.077419354838712| EI: 3.4913151364764268
Maze 54| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.4375| IT: 4.21875| IR: 1.84375| DI: 4.571428571428572| EI: nan
Maze 55| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.28125| IT: 5.84375| IR: 1.90625| DI: 3.221774193548387| EI: 3.032258064516129
Maze 56| Su: 0.78125| Fa: 0.125| Sl: 0.09375| WC: 0.96875| IT: 25.125| IR: 14.375| DI: 11.675| EI: nan
Maze 57| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 4.53125| IR: 0.96875| DI: 3.3039772727272725| EI: 1.2114583333333333
Maze 58| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 1.21875| IR: 0.09375| DI: 2.1666666666666665| EI: 2.1666666666666665
Maze 59| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.3125| IT: 5.28125| IR: 2.28125| DI: 4.466666666666667| EI: nan
Maze 60| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.34375| IT: 6.90625| IR: 1.59375| DI: 4.470219435736675| EI: 2.048850574712644
Maze 61| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.3125| IT: 9.15625| IR: 3.625| DI: 9.08203125| EI: nan
