---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.97350625
mean_fail_rate: 0.02173125
mean_sloth_rate: 0.0047625
recall_50: 1.0
recall_90: 0.9468
mean_wall_collisions: 0.48566875
mean_inefficient_turns: 4.9695625
mean_inefficient_revisits: 1.35085
mean_exploitation_inefficiency: 2.4085328356398974
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.96971875
mean_fail_rate: 0.0248125
mean_sloth_rate: 0.00546875
recall_50: 1.0
recall_90: 0.94
mean_wall_collisions: 0.5443125
mean_inefficient_turns: 5.51003125
mean_inefficient_revisits: 1.56378125
mean_exploitation_inefficiency: 2.5807042772300295
---------------------------------------------------------------
Maze 35| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.0625| IT: 2.40625| IR: 0.0| DI: 1.776091081593928| EI: 1.776091081593928
Maze 36| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 3.71875| IR: 0.0625| DI: 2.00390625| EI: 1.8860294117647058
Maze 37| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.46875| IT: 4.0625| IR: 1.5| DI: 4.736607142857142| EI: 4.736607142857142
Maze 38| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 2.6875| IR: 0.15625| DI: 2.4375| EI: 1.9500000000000002
Maze 39| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.1875| IT: 4.96875| IR: 1.125| DI: 3.985663082437276| EI: 2.562211981566821
Maze 40| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.75| IT: 8.4375| IR: 2.40625| DI: 5.727272727272726| EI: 5.727272727272726
Maze 41| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.6875| IT: 3.9375| IR: 1.1875| DI: 3.7354838709677414| EI: 1.4367245657568242
Maze 42| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.0625| IT: 3.0625| IR: 0.65625| DI: 3.7096774193548385| EI: 3.7096774193548385
Maze 43| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 2.375| IR: 0.6875| DI: 2.9375| EI: 1.321875
Maze 44| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 3.03125| IR: 0.3125| DI: 2.08984375| EI: 1.9669117647058822
Maze 45| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.15625| IT: 4.1875| IR: 0.75| DI: 2.6897435897435895| EI: 2.056862745098039
Maze 46| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.59375| IT: 6.6875| IR: 2.125| DI: 6.533333333333333| EI: nan
Maze 47| Su: 0.96875| Fa: 0.0| Sl: 0.03125| WC: 1.1875| IT: 7.53125| IR: 2.78125| DI: 3.7612903225806456| EI: nan
Maze 48| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.9375| IR: 0.0| DI: 1.7276785714285714| EI: 1.51171875
Maze 49| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.25| IT: 3.1875| IR: 1.09375| DI: 2.939393939393939| EI: 2.6944444444444446
Maze 50| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 3.125| IR: 0.28125| DI: 2.7926136363636362| EI: nan
Maze 51| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 2.0625| IR: 0.15625| DI: 2.732638888888889| EI: 2.732638888888889
Maze 52| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 1.4375| IR: 0.125| DI: 2.1640625| EI: 0.9111842105263157
Maze 53| Su: 0.9375| Fa: 0.0| Sl: 0.0625| WC: 1.5625| IT: 14.21875| IR: 5.40625| DI: 6.2299999999999995| EI: 2.3961538461538465
Maze 54| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 2.65625| IR: 0.84375| DI: 3.955357142857143| EI: nan
Maze 55| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.40625| IT: 6.625| IR: 1.75| DI: 2.901209677419355| EI: 2.7305502846299805
Maze 56| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 1.375| IT: 15.0| IR: 3.65625| DI: 10.14655172413793| EI: nan
Maze 57| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 2.21875| IR: 0.625| DI: 2.5227272727272725| EI: 0.9249999999999999
Maze 58| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 0.3125| IR: 0.0| DI: 1.2395833333333335| EI: 1.2395833333333335
Maze 59| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.125| IT: 3.5| IR: 0.8125| DI: 3.9068100358422937| EI: nan
Maze 60| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.3125| IT: 2.0625| IR: 0.5625| DI: 2.4252199413489737| EI: 1.111559139784946
Maze 61| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.25| IT: 11.28125| IR: 3.375| DI: 7.548387096774194| EI: nan
Maze 62| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.25| IT: 2.28125| IR: 1.28125| DI: 2.693939393939394| EI: nan
Maze 63| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 1.09375| IT: 7.0| IR: 2.90625| DI: 3.6264367816091956| EI: 1.8132183908045978
Maze 64| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 3.65625| IR: 0.09375| DI: 2.005859375| EI: 1.8878676470588234
Maze 65| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 2.84375| IR: 0.84375| DI: 3.3125| EI: nan
Maze 66| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.6875| IT: 5.3125| IR: 1.40625| DI: 3.04375| EI: 3.04375
Maze 67| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 1.0625| IT: 8.65625| IR: 2.8125| DI: 7.43359375| EI: 7.43359375
Maze 68| Su: 0.875| Fa: 0.125| Sl: 0.0| WC: 0.625| IT: 7.4375| IR: 2.46875| DI: 6.057142857142857| EI: nan
Maze 69| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.21875| IT: 5.15625| IR: 2.125| DI: 6.015625| EI: 2.40625
Maze 70| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.34375| IT: 5.4375| IR: 1.40625| DI: 3.7386363636363638| EI: nan
Maze 71| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.28125| IT: 6.71875| IR: 1.625| DI: 3.4464285714285716| EI: nan
Maze 72| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.03125| IR: 0.0| DI: 1.140625| EI: 1.140625
Maze 73| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.09375| IT: 2.5625| IR: 0.3125| DI: 2.614583333333333| EI: nan
Maze 74| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.0625| IT: 0.65625| IR: 0.0| DI: 1.6405529953917053| EI: 1.6405529953917053
Maze 75| Su: 0.9375| Fa: 0.03125| Sl: 0.03125| WC: 1.65625| IT: 8.8125| IR: 3.1875| DI: 4.842424242424243| EI: 4.842424242424243
Maze 76| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.4375| IT: 4.09375| IR: 1.15625| DI: 4.138248847926267| EI: 1.1141439205955335
Maze 77| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 2.15625| IR: 0.03125| DI: 2.607142857142857| EI: 0.73
Maze 78| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.03125| IR: 0.0| DI: 1.125| EI: 1.125
Maze 79| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.25| IT: 5.09375| IR: 0.8125| DI: 2.8546798029556646| EI: 2.350912778904666
Maze 80| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0625| IR: 0.0| DI: 1.234375| EI: 1.234375
Maze 81| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.125| IR: 0.0| DI: 1.15625| EI: 1.15625
Maze 82| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.03125| IT: 2.75| IR: 0.75| DI: 2.6832844574780057| EI: nan
Maze 83| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.15625| IT: 0.96875| IR: 0.5| DI: 2.6624999999999996| EI: 2.6624999999999996
Maze 84| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.0| IR: 0.0| DI: 1.0703125| EI: 1.0703125
Maze 85| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.125| IT: 1.625| IR: 0.625| DI: 3.0572916666666665| EI: nan
Maze 86| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.25| IT: 1.5625| IR: 0.375| DI: 2.029325513196481| EI: 1.860215053763441
Maze 87| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 0.125| IR: 0.0| DI: 1.1953125| EI: 1.1953125
Maze 88| Su: 0.90625| Fa: 0.09375| Sl: 0.0| WC: 0.90625| IT: 5.25| IR: 1.34375| DI: 5.1226053639846745| EI: nan
Maze 89| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.71875| IT: 7.03125| IR: 2.0| DI: 4.253846153846154| EI: 4.253846153846154
Maze 90| Su: 0.90625| Fa: 0.0625| Sl: 0.03125| WC: 1.6875| IT: 12.625| IR: 3.8125| DI: 7.502463054187192| EI: nan
Maze 91| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.03125| IT: 3.71875| IR: 0.90625| DI: 3.359375| EI: 3.1009615384615383
Maze 92| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0| IT: 1.21875| IR: 0.3125| DI: 1.9930555555555554| EI: 0.8153409090909091
Maze 93| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.03125| IT: 2.65625| IR: 0.375| DI: 2.7653958944281523| EI: 1.1266427718040621
Maze 94| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 1.0| IT: 8.8125| IR: 2.0625| DI: 3.193548387096774| EI: nan
Maze 95| Su: 0.8125| Fa: 0.1875| Sl: 0.0| WC: 0.8125| IT: 10.34375| IR: 3.53125| DI: 6.538461538461538| EI: nan
Maze 96| Su: 1.0| Fa: 0.0| Sl: 0.0| WC: 0.0625| IT: 2.46875| IR: 0.28125| DI: 3.1666666666666665| EI: 2.85
Maze 97| Su: 0.96875| Fa: 0.03125| Sl: 0.0| WC: 0.25| IT: 2.90625| IR: 0.90625| DI: 2.788856304985337| EI: 0.7866004962779154
Maze 98| Su: 0.9375| Fa: 0.0625| Sl: 0.0| WC: 0.375| IT: 4.84375| IR: 2.0625| DI: 3.684848484848485| EI: nan
