---------------------------------------------------------------
Summary of training set: 
mean_success_rate: 0.978909375
mean_fail_rate: 0.0
mean_sloth_rate: 0.0
recall_50: 0.0
recall_90: 0.0
mean_wall_collisions: 0.0
mean_inefficient_turns: 0.0
mean_inefficient_revisits: 0.0
mean_distance_inefficiency: 0.0
---------------------------------------------------------------
Summary of validation set: 
mean_success_rate: 0.967546875
mean_fail_rate: 0.0
mean_sloth_rate: 0.0
recall_50: 0.0
recall_90: 0.0
mean_wall_collisions: 0.0
mean_inefficient_turns: 0.0
mean_inefficient_revisits: 0.0
mean_distance_inefficiency: 0.0
---------------------------------------------------------------
Maze 202| Su: 1.0
Maze 203| Su: 1.0
Maze 204| Su: 0.96875
Maze 205| Su: 0.9375
Maze 206| Su: 1.0
Maze 207| Su: 1.0
Maze 208| Su: 1.0
Maze 209| Su: 0.96875
Maze 210| Su: 0.96875
Maze 211| Su: 1.0
Maze 212| Su: 1.0
Maze 213| Su: 0.96875
Maze 214| Su: 0.96875
Maze 215| Su: 1.0
Maze 216| Su: 1.0
Maze 217| Su: 1.0
Maze 218| Su: 1.0
Maze 219| Su: 1.0
Maze 220| Su: 1.0
Maze 221| Su: 1.0
Maze 222| Su: 1.0
Maze 223| Su: 1.0
Maze 224| Su: 0.9375
Maze 225| Su: 0.9375
Maze 226| Su: 1.0
Maze 227| Su: 1.0
Maze 228| Su: 0.90625
Maze 229| Su: 1.0
Maze 230| Su: 1.0
Maze 231| Su: 1.0
Maze 232| Su: 1.0
Maze 233| Su: 1.0
Maze 234| Su: 1.0
Maze 235| Su: 1.0
Maze 236| Su: 1.0
Maze 237| Su: 1.0
Maze 238| Su: 1.0
Maze 239| Su: 1.0
Maze 240| Su: 0.96875
Maze 241| Su: 1.0
Maze 242| Su: 1.0
Maze 243| Su: 1.0
Maze 244| Su: 1.0
Maze 245| Su: 1.0
Maze 246| Su: 1.0
Maze 247| Su: 1.0
Maze 248| Su: 1.0
Maze 249| Su: 0.9375
Maze 250| Su: 1.0
Maze 251| Su: 1.0
Maze 252| Su: 0.9375
Maze 253| Su: 1.0
Maze 254| Su: 1.0
Maze 255| Su: 1.0
Maze 256| Su: 1.0
Maze 257| Su: 0.90625
Maze 258| Su: 1.0
Maze 259| Su: 0.96875
Maze 260| Su: 0.96875
Maze 261| Su: 1.0
Maze 262| Su: 0.96875
Maze 263| Su: 1.0
Maze 264| Su: 0.9375
Maze 265| Su: 1.0
Maze 266| Su: 0.8125
Maze 267| Su: 0.9375
Maze 268| Su: 1.0
Maze 269| Su: 0.9375
Maze 270| Su: 1.0
Maze 271| Su: 0.96875
Maze 272| Su: 1.0
Maze 273| Su: 1.0
Maze 274| Su: 0.96875
Maze 275| Su: 1.0
Maze 276| Su: 1.0
Maze 277| Su: 1.0
Maze 278| Su: 0.96875
Maze 279| Su: 0.84375
Maze 280| Su: 1.0
Maze 281| Su: 1.0
Maze 282| Su: 1.0
Maze 283| Su: 1.0
Maze 284| Su: 0.9375
Maze 285| Su: 1.0
Maze 286| Su: 1.0
Maze 287| Su: 0.96875
Maze 288| Su: 1.0
Maze 289| Su: 0.96875
Maze 290| Su: 1.0
Maze 291| Su: 1.0
Maze 292| Su: 1.0
Maze 293| Su: 1.0
Maze 294| Su: 0.96875
Maze 295| Su: 1.0
Maze 296| Su: 0.96875
Maze 297| Su: 0.96875
Maze 298| Su: 0.9375
Maze 299| Su: 0.96875
Maze 300| Su: 0.90625
Maze 301| Su: 1.0
Maze 302| Su: 0.90625
Maze 303| Su: 0.96875
Maze 304| Su: 0.96875
Maze 305| Su: 1.0
Maze 306| Su: 1.0
Maze 307| Su: 1.0
Maze 308| Su: 1.0
Maze 309| Su: 1.0
Maze 310| Su: 1.0
Maze 311| Su: 1.0
Maze 312| Su: 1.0
Maze 313| Su: 1.0
Maze 314| Su: 0.96875
Maze 315| Su: 1.0
Maze 316| Su: 1.0
Maze 317| Su: 1.0
Maze 318| Su: 1.0
Maze 319| Su: 0.96875
Maze 320| Su: 1.0
Maze 321| Su: 0.875
Maze 322| Su: 1.0
Maze 323| Su: 1.0
Maze 324| Su: 1.0
Maze 325| Su: 0.96875
Maze 326| Su: 0.96875
Maze 327| Su: 1.0
Maze 328| Su: 1.0
Maze 329| Su: 0.96875
Maze 330| Su: 1.0
Maze 331| Su: 1.0
Maze 332| Su: 1.0
Maze 333| Su: 1.0
Maze 334| Su: 1.0
Maze 335| Su: 1.0
Maze 336| Su: 1.0
Maze 337| Su: 1.0
Maze 338| Su: 0.90625
Maze 339| Su: 1.0
Maze 340| Su: 1.0
Maze 341| Su: 0.96875
Maze 342| Su: 1.0
